BUCHUNGSNUMMER;SACHKONTO;BUCHUNGSDATUM;AENDERUNGSART;BENUTZER;GEAENDERT_AM;GEAENDERT_UM;BEMERKUNG;FESTSCHREIBUNG_VOR_AENDERUNG
5657382325;448020-XGGKTOP20 020-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382331;448020-XGSFPLUS30 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382339;448020-XGSFPRM30 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382343;448020-XGSFPRM30 180-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382373;448020-XGSFTOP50 040-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382377;448020-XGSFTOP50 080-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382387;448020-XGSFTOP70 050-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382393;448020-XPGKPLUS 180-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382421;448020-XPGKTOPTB 180-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382423;448020-XPGKTOPTB 200-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382336;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382338;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382396;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382374;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382638;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382426;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382392;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382628;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382634;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382328;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382346;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382630;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382650;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382372;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382394;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382400;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382388;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382652;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382376;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382646;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382648;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382644;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382642;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382640;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382340;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382398;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382330;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382342;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382636;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382332;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382344;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382390;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382422;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382632;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382326;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382378;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382348;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382424;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382386;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382368;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382370;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382334;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382420;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382350;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382384;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382352;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382402;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382380;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382418;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382404;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382406;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382366;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382408;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382412;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382354;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382410;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
