RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;KUNDENGRUPPE;FAKTURADATUM;LEISTUNGSDATUM;WARENAUSGANG_NR;WARENAUSGANG_DATUM;LIEFERART;BETRAG_EUR;WAEHRUNG;STORNO_REF;BUCHUNGSTEXT;BEMERKUNG
SCN0003272;Gutschrift;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;;;Gutschrift;-13571,71;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003273;Gutschrift;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;;;Gutschrift;-13571,71;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SI10052755;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.01.2025;08.01.2025;DN0169900;08.01.2025;Warenlieferung;2570,40;EUR;;;
SI10052756;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.01.2025;08.01.2025;DN0169899;08.01.2025;Warenlieferung;8357,29;EUR;;;
SI10052757;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.01.2025;08.01.2025;DN0169896;08.01.2025;Warenlieferung;6640,56;EUR;;;
SI10052758;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.01.2025;08.01.2025;DN0169894;08.01.2025;Warenlieferung;12145,14;EUR;;;
SI10052759;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169893;08.01.2025;Warenlieferung;8867,88;EUR;;;
SI10052760;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169892;08.01.2025;Warenlieferung;6749,87;EUR;;;
SI10052761;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169891;08.01.2025;Warenlieferung;2686,78;EUR;;;
SI10052762;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169874;08.01.2025;Warenlieferung;1079,57;EUR;;;
SI10052763;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169873;08.01.2025;Warenlieferung;3965,27;EUR;;;
SI10052764;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169854;08.01.2025;Warenlieferung;10158,22;EUR;;;
SI10052765;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169853;08.01.2025;Warenlieferung;13571,71;EUR;;;
SI10052766;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169847;08.01.2025;Warenlieferung;13571,71;EUR;;;
SI10052767;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169845;08.01.2025;Warenlieferung;387,35;EUR;;;
SI10052768;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169846;08.01.2025;Warenlieferung;461,82;EUR;;;
SI10052769;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169844;08.01.2025;Warenlieferung;3265,69;EUR;;;
SI10052770;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169843;08.01.2025;Warenlieferung;12029,47;EUR;;;
SI10052771;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169842;08.01.2025;Warenlieferung;19766,38;EUR;;;
SI10052772;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169841;08.01.2025;Warenlieferung;8079,62;EUR;;;
SI10052773;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.01.2025;08.01.2025;DN0169813;08.01.2025;Warenlieferung;12449,05;EUR;;;
SI10052774;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169807;08.01.2025;Warenlieferung;9962,66;EUR;;;
SI10052775;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169806;08.01.2025;Warenlieferung;2518,99;EUR;;;
SI10052776;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169805;08.01.2025;Warenlieferung;6792,71;EUR;;;
SI10052777;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169804;08.01.2025;Warenlieferung;6835,55;EUR;;;
SI10052778;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.01.2025;08.01.2025;DN0169803;08.01.2025;Warenlieferung;5809,10;EUR;;;
SI10052779;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.01.2025;08.01.2025;DN0169802;08.01.2025;Warenlieferung;3984,12;EUR;;;
SI10052780;Rechnung;801401;WEST GERÜSTBAU SA;C-EU;08.01.2025;08.01.2025;DN0169801;08.01.2025;Warenlieferung;8202,60;EUR;;;
SI10052781;Rechnung;800189;FOKUS MONTAGE MBH;C-DOM;08.01.2025;08.01.2025;DN0169800;08.01.2025;Warenlieferung;8728,07;EUR;;;
SI10052782;Rechnung;800055;ALLGÄURECYCLING;C-DOM;08.01.2025;08.01.2025;DN0169799;08.01.2025;Warenlieferung;3491,46;EUR;;;
SI10052783;Rechnung;801992;ROBURSPEDITION GMBH;C-DOM;08.01.2025;08.01.2025;DN0169797;08.01.2025;Warenlieferung;4410,38;EUR;;;
SI10053669;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN0169796;08.01.2025;Warenlieferung;13777,34;EUR;;;
SI10053670;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN10054453;08.01.2025;Warenlieferung;13777,34;EUR;;;
SI10053840;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.01.2025;08.01.2025;DN10054452;08.01.2025;Warenlieferung;4220,92;EUR;;;
SCN0003271;Gutschrift;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;;;Gutschrift;-7191,98;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SI10052784;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.01.2025;09.01.2025;DN0170012;09.01.2025;Warenlieferung;3252,98;EUR;;;
SI10052785;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.01.2025;09.01.2025;DN0170011;09.01.2025;Warenlieferung;4518,07;EUR;;;
SI10052786;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.01.2025;09.01.2025;DN0169992;09.01.2025;Warenlieferung;4021,39;EUR;;;
SI10052787;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169991;09.01.2025;Warenlieferung;5860,51;EUR;;;
SI10052788;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169990;09.01.2025;Warenlieferung;9967,15;EUR;;;
SI10052789;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169970;09.01.2025;Warenlieferung;1211,30;EUR;;;
SI10052790;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169969;09.01.2025;Warenlieferung;1905,95;EUR;;;
SI10052791;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169966;09.01.2025;Warenlieferung;3284,54;EUR;;;
SI10052792;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169949;09.01.2025;Warenlieferung;3427,20;EUR;;;
SI10052793;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169948;09.01.2025;Warenlieferung;6972,21;EUR;;;
SI10052794;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169943;09.01.2025;Warenlieferung;8353,80;EUR;;;
SI10052795;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169942;09.01.2025;Warenlieferung;4894,04;EUR;;;
SI10052796;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN0169922;09.01.2025;Warenlieferung;7191,98;EUR;;;
SI10052797;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN0169921;09.01.2025;Warenlieferung;12481,91;EUR;;;
SI10052798;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN0169920;09.01.2025;Warenlieferung;2750,33;EUR;;;
SI10052799;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054507;09.01.2025;Warenlieferung;4721,40;EUR;;;
SI10052800;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054506;09.01.2025;Warenlieferung;2816,09;EUR;;;
SI10052801;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054505;09.01.2025;Warenlieferung;10903,64;EUR;;;
SI10052802;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054504;09.01.2025;Warenlieferung;3277,47;EUR;;;
SI10052803;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054503;09.01.2025;Warenlieferung;13359,65;EUR;;;
SI10052804;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054502;09.01.2025;Warenlieferung;6779,86;EUR;;;
SI10052805;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054501;09.01.2025;Warenlieferung;7094,66;EUR;;;
SI10052806;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054500;09.01.2025;Warenlieferung;3357,37;EUR;;;
SI10052807;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054499;09.01.2025;Warenlieferung;4125,49;EUR;;;
SI10052808;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.01.2025;09.01.2025;DN10054498;09.01.2025;Warenlieferung;10143,08;EUR;;;
SI10052809;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;09.01.2025;09.01.2025;DN10054497;09.01.2025;Warenlieferung;2178,41;EUR;;;
