ERFASSUNGSNUMMER;JOURNALNAME;ANZAHL_ZEILEN;SUMME_ABS_EUR;ERSTELLER;ERFASST_AM;ERFASST_UM;FREIGEBER;FREIGABEDATUM;FREIGABESTATUS
5640403453;GL-403453;2;7100,00;BSP-U02;01.01.2025;09:36:25;BSP-U10;01.01.2025;Freigegeben
5640403500;GL-403500;2;7425,00;BSP-U10;01.01.2025;09:29:11;BSP-U02;02.01.2025;Freigegeben
5640403501;GL-403501;2;53,22;BSP-U10;01.01.2025;10:14:43;BSP-U02;03.01.2025;Freigegeben
5640403504;GL-403504;2;2613,60;BSP-U10;01.01.2025;10:28:34;BSP-U02;01.01.2025;Freigegeben
5640403508;GL-403508;2;1000,00;BSP-U10;01.01.2025;07:33:51;BSP-U02;02.01.2025;Freigegeben
5640403511;GL-403511;2;5191,66;BSP-U10;01.01.2025;17:06:59;BSP-U02;02.01.2025;Freigegeben
5640456224;GL-456224;2;761834,16;BSP-U02;01.01.2025;07:37:10;BSP-U10;01.01.2025;Freigegeben
5640295978;GL-295978;2;2500,00;BSP-U10;02.01.2025;07:52:10;BSP-U02;03.01.2025;Freigegeben
5640295979;GL-295979;2;28,00;BSP-U10;02.01.2025;10:13:07;BSP-U02;02.01.2025;Freigegeben
5640295980;GL-295980;2;400000,00;BSP-U10;02.01.2025;10:45:48;BSP-U02;03.01.2025;Freigegeben
5640295982;GL-295982;2;101826,92;BSP-U10;02.01.2025;16:49:17;BSP-U02;03.01.2025;Freigegeben
5640296272;GL-296272;2;263934,42;BSP-U10;02.01.2025;10:52:12;BSP-U02;03.01.2025;Freigegeben
5640328374;GL-328374;2;919429,64;BSP-U02;02.01.2025;13:22:04;BSP-U10;06.01.2025;Freigegeben
5640403452;GL-403452;2;85456,80;BSP-U02;02.01.2025;09:26:58;BSP-U10;03.01.2025;Freigegeben
5640403505;GL-403505;2;16104,90;BSP-U10;02.01.2025;09:58:37;BSP-U02;02.01.2025;Freigegeben
5640403506;GL-403506;2;2892,00;BSP-U10;02.01.2025;14:26:34;BSP-U02;02.01.2025;Freigegeben
5640295983;GL-295983;2;400000,00;BSP-U10;03.01.2025;13:47:22;BSP-U02;03.01.2025;Freigegeben
5640296271;GL-296271;2;39857,46;BSP-U10;03.01.2025;16:09:26;BSP-U02;06.01.2025;Freigegeben
5640298769;GL-298769;2;187210,34;BSP-U11;03.01.2025;16:20:09;BSP-U10;06.01.2025;Freigegeben
5640403454;GL-403454;2;100,00;BSP-U02;03.01.2025;15:19:39;BSP-U10;06.01.2025;Freigegeben
5640403507;GL-403507;2;3351,42;BSP-U10;03.01.2025;15:08:37;BSP-U02;03.01.2025;Freigegeben
5640403510;GL-403510;2;39616,26;BSP-U10;03.01.2025;14:06:03;BSP-U02;06.01.2025;Freigegeben
5639952176;GL-952176;2;39616,26;BSP-U10;06.01.2025;15:22:39;BSP-U02;08.01.2025;Freigegeben
5639952188;GL-952188;2;5191,66;BSP-U10;06.01.2025;15:23:54;BSP-U02;06.01.2025;Freigegeben
5640295984;GL-295984;2;917489,34;BSP-U10;06.01.2025;13:18:40;BSP-U02;06.01.2025;Freigegeben
5640298777;GL-298777;2;546397,86;BSP-U11;06.01.2025;14:35:25;BSP-U02;06.01.2025;Freigegeben
5640328373;GL-328373;2;135727,30;BSP-U02;06.01.2025;15:19:29;BSP-U10;06.01.2025;Freigegeben
5640328375;GL-328375;2;89238,62;BSP-U02;06.01.2025;13:34:05;BSP-U10;06.01.2025;Freigegeben
5640345798;GL-345798;2;6153385,38;BSP-U02;06.01.2025;15:45:41;BSP-U10;06.01.2025;Freigegeben
5640393424;GL-393424;2;16,00;BSP-U11;06.01.2025;15:14:46;BSP-U10;06.01.2025;Freigegeben
5640403499;GL-403499;2;4216,66;BSP-U10;06.01.2025;16:23:39;BSP-U02;06.01.2025;Freigegeben
5640403502;GL-403502;2;13755,00;BSP-U10;06.01.2025;15:48:32;BSP-U02;06.01.2025;Freigegeben
5640403503;GL-403503;2;300,00;BSP-U10;06.01.2025;14:21:56;BSP-U02;06.01.2025;Freigegeben
5640403509;GL-403509;2;780,00;BSP-U10;06.01.2025;14:32:38;BSP-U02;07.01.2025;Freigegeben
5640296267;GL-296267;2;210701,44;BSP-U10;07.01.2025;14:10:02;BSP-U02;07.01.2025;Freigegeben
5640296978;GL-296978;2;807742,64;BSP-U11;07.01.2025;14:45:24;BSP-U02;08.01.2025;Freigegeben
5640300668;GL-300668;2;281446,56;BSP-U11;07.01.2025;17:17:30;BSP-U10;09.01.2025;Freigegeben
5640296981;GL-296981;2;440912,72;BSP-U11;08.01.2025;15:28:47;BSP-U02;10.01.2025;Freigegeben
5640308080;GL-308080;2;7493,54;BSP-U11;08.01.2025;09:24:56;BSP-U02;08.01.2025;Freigegeben
5640393445;GL-393445;2;60,00;BSP-U11;08.01.2025;11:20:59;BSP-U02;08.01.2025;Freigegeben
5640308065;GL-308065;2;111160,64;BSP-U11;09.01.2025;17:02:40;BSP-U02;10.01.2025;Freigegeben
5640393446;GL-393446;2;60,00;BSP-U11;09.01.2025;09:06:44;BSP-U02;13.01.2025;Freigegeben
5640308044;GL-308044;2;609581,48;BSP-U11;10.01.2025;09:03:52;BSP-U10;13.01.2025;Freigegeben
5640308047;GL-308047;2;180123,28;BSP-U11;13.01.2025;14:41:35;BSP-U02;14.01.2025;Freigegeben
5640308081;GL-308081;2;92187,92;BSP-U11;13.01.2025;16:56:27;BSP-U02;15.01.2025;Freigegeben
5640308187;GL-308187;2;519939,72;BSP-U11;13.01.2025;08:48:55;BSP-U10;14.01.2025;Freigegeben
5640309745;GL-309745;2;209524,40;BSP-U11;13.01.2025;10:02:12;BSP-U02;14.01.2025;Freigegeben
5640309756;GL-309756;2;40114,34;BSP-U11;13.01.2025;18:02:12;BSP-U02;15.01.2025;Freigegeben
5640393427;GL-393427;2;8,30;BSP-U11;13.01.2025;13:26:40;BSP-U02;14.01.2025;Freigegeben
5640393444;GL-393444;2;60,00;BSP-U11;13.01.2025;13:22:34;BSP-U02;15.01.2025;Freigegeben
5640393447;GL-393447;2;340,00;BSP-U11;13.01.2025;10:25:28;BSP-U10;15.01.2025;Freigegeben
5640393449;GL-393449;2;66,00;BSP-U11;13.01.2025;10:27:48;BSP-U10;13.01.2025;Freigegeben
5640393451;GL-393451;2;5,00;BSP-U11;13.01.2025;11:15:53;BSP-U02;14.01.2025;Freigegeben
5640308077;GL-308077;2;200,00;BSP-U11;14.01.2025;10:19:18;BSP-U10;16.01.2025;Freigegeben
5640309744;GL-309744;2;785113,00;BSP-U11;14.01.2025;10:58:19;BSP-U02;15.01.2025;Freigegeben
5640309757;GL-309757;2;260004,04;BSP-U11;14.01.2025;17:18:44;BSP-U02;15.01.2025;Freigegeben
5640314198;GL-314198;2;466518,36;BSP-U11;15.01.2025;09:05:20;BSP-U10;16.01.2025;Freigegeben
5640393448;GL-393448;2;60,00;BSP-U11;15.01.2025;14:03:59;BSP-U10;15.01.2025;Freigegeben
5640393450;GL-393450;2;60,00;BSP-U11;15.01.2025;08:06:21;BSP-U10;15.01.2025;Freigegeben
5640309752;GL-309752;2;200,00;BSP-U11;16.01.2025;07:53:54;BSP-U02;16.01.2025;Freigegeben
5640312405;GL-312405;2;1964,78;BSP-U11;16.01.2025;13:52:24;BSP-U02;16.01.2025;Freigegeben
5640351013;GL-351013;2;401900,64;BSP-U11;16.01.2025;09:13:39;BSP-U10;17.01.2025;Freigegeben
5640324211;GL-324211;2;407932,58;BSP-U11;17.01.2025;16:04:03;BSP-U02;20.01.2025;Freigegeben
5640351016;GL-351016;2;301007,54;BSP-U11;17.01.2025;08:07:03;BSP-U02;20.01.2025;Freigegeben
5640324210;GL-324210;2;217916,00;BSP-U11;20.01.2025;14:29:53;BSP-U02;21.01.2025;Freigegeben
5640325090;GL-325090;2;1,32;BSP-U02;20.01.2025;09:37:36;BSP-U10;21.01.2025;Freigegeben
5640351023;GL-351023;2;723592,36;BSP-U11;20.01.2025;10:27:22;BSP-U02;22.01.2025;Freigegeben
5640393428;GL-393428;2;5,80;BSP-U11;20.01.2025;07:43:45;BSP-U02;20.01.2025;Freigegeben
5640329218;GL-329218;2;88149,62;BSP-U11;22.01.2025;08:57:18;BSP-U02;22.01.2025;Freigegeben
5640351024;GL-351024;2;33967,50;BSP-U11;22.01.2025;14:12:39;BSP-U02;22.01.2025;Freigegeben
5640393453;GL-393453;2;60,00;BSP-U11;22.01.2025;14:05:17;BSP-U10;22.01.2025;Freigegeben
5640393454;GL-393454;2;166,00;BSP-U11;22.01.2025;09:50:19;BSP-U02;22.01.2025;Freigegeben
5640325089;GL-325089;2;1,32;BSP-U02;23.01.2025;14:05:58;BSP-U10;24.01.2025;Freigegeben
5640393455;GL-393455;2;60,00;BSP-U11;23.01.2025;14:46:31;BSP-U02;24.01.2025;Freigegeben
5640345072;GL-345072;2;300,00;BSP-U11;24.01.2025;08:43:12;BSP-U10;24.01.2025;Freigegeben
5640393452;GL-393452;2;60,00;BSP-U11;27.01.2025;15:39:48;BSP-U02;27.01.2025;Freigegeben
5640393456;GL-393456;2;191,88;BSP-U11;27.01.2025;14:17:48;BSP-U02;28.01.2025;Freigegeben
5640393457;GL-393457;2;60,00;BSP-U11;27.01.2025;14:39:40;BSP-U10;27.01.2025;Freigegeben
5640351039;GL-351039;2;1000,00;BSP-U11;28.01.2025;09:23:33;BSP-U10;29.01.2025;Freigegeben
5640351197;GL-351197;2;1749,30;BSP-U11;28.01.2025;09:39:56;BSP-U10;29.01.2025;Freigegeben
5640350325;GL-350325;2;40800,66;BSP-U11;29.01.2025;17:22:35;BSP-U02;30.01.2025;Freigegeben
5640351027;GL-351027;2;275840,48;BSP-U11;29.01.2025;14:41:50;BSP-U02;29.01.2025;Freigegeben
5640393438;GL-393438;2;1,20;BSP-U11;31.01.2025;10:59:29;BSP-U10;03.02.2025;Freigegeben
5640393441;GL-393441;2;4,06;BSP-U11;31.01.2025;15:43:50;BSP-U02;03.02.2025;Freigegeben
5640393442;GL-393442;2;1,74;BSP-U11;31.01.2025;10:40:54;BSP-U02;03.02.2025;Freigegeben
5640310948;GL-310948;542;26371,32;BSP-U10;03.02.2025;09:05:41;BSP-U02;03.02.2025;Freigegeben
5640318248;GL-318248;542;26371,32;BSP-U10;03.02.2025;07:24:55;BSP-U02;04.02.2025;Freigegeben
5640356094;GL-356094;2;277693,20;BSP-U11;03.02.2025;11:33:14;BSP-U02;04.02.2025;Freigegeben
5640375882;GL-375882;2;149192,92;BSP-U10;03.02.2025;10:09:54;BSP-U02;05.02.2025;Freigegeben
