DATUM;DEBITOR;DEBITORNAME;FELD;WERT_ALT;WERT_NEU;GEAENDERT_VON;GENEHMIGT_VON;GENEHMIGT
01.01.2025;802941;HARZBETON E.K.;Zahlungsziel;30 Tage;45 Tage;BSP-U08;BSP-U02;Ja
01.01.2025;801618;ALPEN CHEMIE GMBH;Zahlungsziel;30 Tage;45 Tage;BSP-U08;BSP-U02;Ja
19.01.2025;803053;TAUNUS TROCKENBAU;Zahlungsziel;30 Tage;45 Tage;BSP-U08;BSP-U02;Ja
19.01.2025;802283;HANSE RECYCLING;Zahlungsziel;30 Tage;45 Tage;BSP-U08;BSP-U02;Ja
19.01.2025;801317;BOREAS PLATTEN GMBH;Zahlungsziel;30 Tage;45 Tage;BSP-U08;BSP-U02;Ja
02.02.2025;802705;TOPAS ISOLIERBAU;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
11.02.2025;802047;POLARISBETON GMBH;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
17.02.2025;803129;BEISPIEL GMBH;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
17.02.2025;800010;ATLAS TRANSPORT GMBH & CO. KG;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
20.02.2025;802127;ZENITTIEFBAU GMBH;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
23.02.2025;802729;VEGALOGISTIK;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
23.02.2025;801648;OSTSYSTEME GMBH & CO. KG;Adresse;alt;neu;BSP-U08;BSP-U02;Ja
03.03.2025;800646;KOMPAKT RECYCLING GMBH & CO. KG;Bankverbindung;DE7450013242020234;DE8770024414006744;BSP-U11;BSP-U02;Ja
09.03.2025;801465;KOMPAKT PLATTEN GMBH;Bankverbindung;DE09500129930000468954;DE53700209970000822984;BSP-U11;BSP-U02;Ja
24.03.2025;801678;NOVARECYCLING;Bankverbindung;DE63500119880000825202;DE83700273290000608400;BSP-U11;BSP-U02;Ja
