WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
DN0169900;08.01.2025;SI10052755;800181;HANSE GEBÄUDETECHNIK GMBH;2570,40;Werk Musterstadt
DN0169899;08.01.2025;SI10052756;800181;HANSE GEBÄUDETECHNIK GMBH;8357,29;Werk Musterstadt
DN0169896;08.01.2025;SI10052757;800181;HANSE GEBÄUDETECHNIK GMBH;6640,56;Werk Musterstadt
DN0169894;08.01.2025;SI10052758;800181;HANSE GEBÄUDETECHNIK GMBH;12145,14;Werk Musterstadt
DN0169893;08.01.2025;SI10052759;800004;SÜD PANEELE KG;8867,88;Werk Musterstadt
DN0169892;08.01.2025;SI10052760;800004;SÜD PANEELE KG;6749,87;Werk Musterstadt
DN0169891;08.01.2025;SI10052761;800004;SÜD PANEELE KG;2686,78;Werk Musterstadt
DN0169874;08.01.2025;SI10052762;800004;SÜD PANEELE KG;1079,57;Werk Musterstadt
DN0169873;08.01.2025;SI10052763;800004;SÜD PANEELE KG;3965,27;Werk Musterstadt
DN0169854;08.01.2025;SI10052764;800004;SÜD PANEELE KG;10158,22;Werk Musterstadt
DN0169853;08.01.2025;SI10052765;800004;SÜD PANEELE KG;13571,71;Werk Musterstadt
DN0169847;08.01.2025;SI10052766;800004;SÜD PANEELE KG;13571,71;Werk Musterstadt
DN0169845;08.01.2025;SI10052767;800004;SÜD PANEELE KG;387,35;Werk Musterstadt
DN0169846;08.01.2025;SI10052768;800004;SÜD PANEELE KG;461,82;Werk Musterstadt
DN0169844;08.01.2025;SI10052769;800002;POLARIS BAUBEDARF KG;3265,69;Werk Musterstadt
DN0169843;08.01.2025;SI10052770;800002;POLARIS BAUBEDARF KG;12029,47;Werk Musterstadt
DN0169842;08.01.2025;SI10052771;800002;POLARIS BAUBEDARF KG;19766,38;Werk Musterstadt
DN0169841;08.01.2025;SI10052772;800002;POLARIS BAUBEDARF KG;8079,62;Werk Musterstadt
DN0169813;08.01.2025;SI10052773;800291;ALPEN TECHNIK;12449,05;Werk Musterstadt
DN0169807;08.01.2025;SI10052774;800002;POLARIS BAUBEDARF KG;9962,66;Werk Musterstadt
DN0169806;08.01.2025;SI10052775;800002;POLARIS BAUBEDARF KG;2518,99;Werk Musterstadt
DN0169805;08.01.2025;SI10052776;800002;POLARIS BAUBEDARF KG;6792,71;Werk Musterstadt
DN0169804;08.01.2025;SI10052777;800002;POLARIS BAUBEDARF KG;6835,55;Werk Musterstadt
DN0169803;08.01.2025;SI10052778;800002;POLARIS BAUBEDARF KG;5809,10;Werk Musterstadt
DN0169802;08.01.2025;SI10052779;800291;ALPEN TECHNIK;3984,12;Werk Musterstadt
DN0169801;08.01.2025;SI10052780;801401;WEST GERÜSTBAU SA;8202,60;Werk Musterstadt
DN0169800;08.01.2025;SI10052781;800189;FOKUS MONTAGE MBH;8728,07;Werk Musterstadt
DN0169799;08.01.2025;SI10052782;800055;ALLGÄURECYCLING;3491,46;Werk Musterstadt
DN0169797;08.01.2025;SI10052783;801992;ROBURSPEDITION GMBH;4410,38;Werk Musterstadt
DN0169796;08.01.2025;SI10053669;800004;SÜD PANEELE KG;13777,34;Werk Musterstadt
DN10054453;08.01.2025;SI10053670;800004;SÜD PANEELE KG;13777,34;Werk Musterstadt
DN10054452;08.01.2025;SI10053840;800004;SÜD PANEELE KG;4220,92;Werk Musterstadt
DN0170012;09.01.2025;SI10052784;800181;HANSE GEBÄUDETECHNIK GMBH;3252,98;Werk Musterstadt
DN0170011;09.01.2025;SI10052785;800181;HANSE GEBÄUDETECHNIK GMBH;4518,07;Werk Musterstadt
DN0169992;09.01.2025;SI10052786;800181;HANSE GEBÄUDETECHNIK GMBH;4021,39;Werk Musterstadt
DN0169991;09.01.2025;SI10052787;800004;SÜD PANEELE KG;5860,51;Werk Musterstadt
DN0169990;09.01.2025;SI10052788;800004;SÜD PANEELE KG;9967,15;Werk Musterstadt
DN0169970;09.01.2025;SI10052789;800004;SÜD PANEELE KG;1211,30;Werk Musterstadt
DN0169969;09.01.2025;SI10052790;800004;SÜD PANEELE KG;1905,95;Werk Musterstadt
DN0169966;09.01.2025;SI10052791;800004;SÜD PANEELE KG;3284,54;Werk Musterstadt
DN0169949;09.01.2025;SI10052792;800004;SÜD PANEELE KG;3427,20;Werk Musterstadt
DN0169948;09.01.2025;SI10052793;800004;SÜD PANEELE KG;6972,21;Werk Musterstadt
DN0169943;09.01.2025;SI10052794;800004;SÜD PANEELE KG;8353,80;Werk Musterstadt
DN0169942;09.01.2025;SI10052795;800004;SÜD PANEELE KG;4894,04;Werk Musterstadt
DN0169922;09.01.2025;SI10052796;800004;SÜD PANEELE KG;7191,98;Werk Musterstadt
DN0169921;09.01.2025;SI10052797;800002;POLARIS BAUBEDARF KG;12481,91;Werk Musterstadt
DN0169920;09.01.2025;SI10052798;800291;ALPEN TECHNIK;2750,33;Werk Musterstadt
DN10054507;09.01.2025;SI10052799;800291;ALPEN TECHNIK;4721,40;Werk Musterstadt
DN10054506;09.01.2025;SI10052800;800291;ALPEN TECHNIK;2816,09;Werk Musterstadt
DN10054505;09.01.2025;SI10052801;800002;POLARIS BAUBEDARF KG;10903,64;Werk Musterstadt
DN10054504;09.01.2025;SI10052802;800291;ALPEN TECHNIK;3277,47;Werk Musterstadt
DN10054503;09.01.2025;SI10052803;800291;ALPEN TECHNIK;13359,65;Werk Musterstadt
DN10054502;09.01.2025;SI10052804;800002;POLARIS BAUBEDARF KG;6779,86;Werk Musterstadt
DN10054501;09.01.2025;SI10052805;800291;ALPEN TECHNIK;7094,66;Werk Musterstadt
DN10054500;09.01.2025;SI10052806;800291;ALPEN TECHNIK;3357,37;Werk Musterstadt
DN10054499;09.01.2025;SI10052807;800291;ALPEN TECHNIK;4125,49;Werk Musterstadt
DN10054498;09.01.2025;SI10052808;800291;ALPEN TECHNIK;10143,08;Werk Musterstadt
DN10054497;09.01.2025;SI10052809;801839;MAIN FOLIEN GMBH;2178,41;Werk Musterstadt
DN10054496;09.01.2025;SI10052810;801839;MAIN FOLIEN GMBH;1627,92;Werk Musterstadt
DN10054495;09.01.2025;SI10052811;801839;MAIN FOLIEN GMBH;2563,97;Werk Musterstadt
DN10054494;09.01.2025;SI10052812;800055;ALLGÄURECYCLING;2432,41;Werk Musterstadt
DN10054493;09.01.2025;SI10052813;801071;FORMA PLATTEN GMBH;3255,84;Werk Musterstadt
DN10054492;09.01.2025;SI10052814;801992;ROBURSPEDITION GMBH;2402,04;Werk Musterstadt
DN10054491;09.01.2025;SI10052921;800002;POLARIS BAUBEDARF KG;6014,74;Werk Musterstadt
DN10054490;09.01.2025;SI10052922;800002;POLARIS BAUBEDARF KG;10432,97;Werk Musterstadt
DN10054489;09.01.2025;SI10052924;800002;POLARIS BAUBEDARF KG;2679,21;Werk Musterstadt
DN10054488;09.01.2025;SI10052925;800002;POLARIS BAUBEDARF KG;848,23;Werk Musterstadt
DN10054487;09.01.2025;SI10052926;800002;POLARIS BAUBEDARF KG;6589,22;Werk Musterstadt
DN10054486;09.01.2025;SI10052965;800002;POLARIS BAUBEDARF KG;1248,79;Werk Musterstadt
DN10054485;09.01.2025;SI10052966;800004;SÜD PANEELE KG;2877,42;Werk Musterstadt
DN10054484;09.01.2025;SI10053668;800004;SÜD PANEELE KG;6770,35;Werk Musterstadt
DN10054483;09.01.2025;SI10053827;800004;SÜD PANEELE KG;11185,52;Werk Musterstadt
DN10054482;09.01.2025;SI10053841;800004;SÜD PANEELE KG;10638,60;Werk Musterstadt
DN0170078;10.01.2025;SI10052816;800181;HANSE GEBÄUDETECHNIK GMBH;3508,60;Werk Musterstadt
DN0170056;10.01.2025;SI10052817;800181;HANSE GEBÄUDETECHNIK GMBH;11412,58;Werk Musterstadt
DN0170055;10.01.2025;SI10052818;800181;HANSE GEBÄUDETECHNIK GMBH;4374,29;Werk Musterstadt
DN0170042;10.01.2025;SI10052819;800004;SÜD PANEELE KG;3470,04;Werk Musterstadt
DN0170041;10.01.2025;SI10052820;800004;SÜD PANEELE KG;9195,07;Werk Musterstadt
DN10054550;10.01.2025;SI10052821;800004;SÜD PANEELE KG;4571,67;Werk Musterstadt
DN10054549;10.01.2025;SI10052822;800004;SÜD PANEELE KG;2634,66;Werk Musterstadt
DN10054548;10.01.2025;SI10052823;800004;SÜD PANEELE KG;7228,82;Werk Musterstadt
DN10054547;10.01.2025;SI10052824;800004;SÜD PANEELE KG;5768,41;Werk Musterstadt
DN10054546;10.01.2025;SI10052825;800004;SÜD PANEELE KG;2570,40;Werk Musterstadt
DN10054545;10.01.2025;SI10052826;800004;SÜD PANEELE KG;9103,50;Werk Musterstadt
DN10054544;10.01.2025;SI10052827;800004;SÜD PANEELE KG;3219,70;Werk Musterstadt
DN10054543;10.01.2025;SI10052828;800004;SÜD PANEELE KG;9942,09;Werk Musterstadt
DN10054542;10.01.2025;SI10052829;800004;SÜD PANEELE KG;3352,44;Werk Musterstadt
DN10054541;10.01.2025;SI10052830;800004;SÜD PANEELE KG;2764,25;Werk Musterstadt
DN10054540;10.01.2025;SI10052831;800004;SÜD PANEELE KG;5913,35;Werk Musterstadt
DN10054539;10.01.2025;SI10052832;800004;SÜD PANEELE KG;2698,92;Werk Musterstadt
DN10054538;10.01.2025;SI10052833;800004;SÜD PANEELE KG;3826,47;Werk Musterstadt
DN10054537;10.01.2025;SI10052834;800004;SÜD PANEELE KG;1776,38;Werk Musterstadt
DN10054536;10.01.2025;SI10052835;800004;SÜD PANEELE KG;4498,20;Werk Musterstadt
DN10054535;10.01.2025;SI10052836;800004;SÜD PANEELE KG;5269,32;Werk Musterstadt
DN10054534;10.01.2025;SI10052837;800004;SÜD PANEELE KG;971,61;Werk Musterstadt
DN10054533;10.01.2025;SI10052838;800004;SÜD PANEELE KG;9839,92;Werk Musterstadt
DN10054532;10.01.2025;SI10052840;800002;POLARIS BAUBEDARF KG;12075,74;Werk Musterstadt
DN10054531;10.01.2025;SI10052841;800002;POLARIS BAUBEDARF KG;9116,35;Werk Musterstadt
DN10054530;10.01.2025;SI10052842;800002;POLARIS BAUBEDARF KG;8796,48;Werk Musterstadt
DN10054529;10.01.2025;SI10052843;800002;POLARIS BAUBEDARF KG;11926,66;Werk Musterstadt
DN10054528;10.01.2025;SI10052844;800291;ALPEN TECHNIK;3732,86;Werk Musterstadt
DN10054527;10.01.2025;SI10052845;800291;ALPEN TECHNIK;12588,25;Werk Musterstadt
DN10054526;10.01.2025;SI10052846;800291;ALPEN TECHNIK;7047,39;Werk Musterstadt
DN10054525;10.01.2025;SI10052847;800002;POLARIS BAUBEDARF KG;3186,94;Werk Musterstadt
DN10054524;10.01.2025;SI10052848;800002;POLARIS BAUBEDARF KG;10149,07;Werk Musterstadt
DN10054523;10.01.2025;SI10052849;800002;POLARIS BAUBEDARF KG;10551,92;Werk Musterstadt
DN10054522;10.01.2025;SI10052850;800002;POLARIS BAUBEDARF KG;3161,24;Werk Musterstadt
DN10054521;10.01.2025;SI10052851;800002;POLARIS BAUBEDARF KG;11028,44;Werk Musterstadt
DN10054520;10.01.2025;SI10052852;800002;POLARIS BAUBEDARF KG;19434,79;Werk Musterstadt
DN10054519;10.01.2025;SI10052853;800002;POLARIS BAUBEDARF KG;9780,37;Werk Musterstadt
DN10054517;10.01.2025;SI10052854;800002;POLARIS BAUBEDARF KG;7779,03;Werk Musterstadt
DN10054516;10.01.2025;SI10052855;800002;POLARIS BAUBEDARF KG;2806,88;Werk Musterstadt
DN10054513;10.01.2025;SI10052856;800291;ALPEN TECHNIK;849,66;Werk Musterstadt
DN10054512;10.01.2025;SI10052857;800002;POLARIS BAUBEDARF KG;2558,50;Werk Musterstadt
DN10054510;10.01.2025;SI10052858;800291;ALPEN TECHNIK;5111,03;Werk Musterstadt
DN10054509;10.01.2025;SI10052859;800291;ALPEN TECHNIK;2861,93;Werk Musterstadt
DN10054508;10.01.2025;SI10052860;800002;POLARIS BAUBEDARF KG;2848,43;Werk Musterstadt
DN10054481;09.01.2025;SI10052861;800291;ALPEN TECHNIK;2314,86;Werk Musterstadt
DN10054480;09.01.2025;SI10052862;800291;ALPEN TECHNIK;3055,35;Werk Musterstadt
DN10054479;09.01.2025;SI10052863;800291;ALPEN TECHNIK;5769,85;Werk Musterstadt
DN10054478;09.01.2025;SI10052864;800002;POLARIS BAUBEDARF KG;18556,36;Werk Musterstadt
DN10054477;09.01.2025;SI10052865;800291;ALPEN TECHNIK;3343,23;Werk Musterstadt
DN10054476;09.01.2025;SI10052866;800291;ALPEN TECHNIK;2955,96;Werk Musterstadt
DN10054475;09.01.2025;SI10052867;800291;ALPEN TECHNIK;6574,87;Werk Musterstadt
DN10054474;09.01.2025;SI10052868;800002;POLARIS BAUBEDARF KG;4712,40;Werk Musterstadt
DN10054473;09.01.2025;SI10052869;800002;POLARIS BAUBEDARF KG;3025,46;Werk Musterstadt
DN10054472;09.01.2025;SI10052870;800086;BOREASLOGISTIK GMBH;5660,53;Werk Musterstadt
DN10054471;09.01.2025;SI10052871;802106;WESER GEBÄUDETECHNIK GMBH;12187,12;Werk Musterstadt
DN10054470;09.01.2025;SI10052872;800630;FORMA FOLIEN GMBH;2776,39;Werk Musterstadt
DN10054469;09.01.2025;SI10052873;800630;FORMA FOLIEN GMBH;4452,85;Werk Musterstadt
DN10054468;09.01.2025;SI10052874;800186;KORUND ELEKTRO GMBH;10618,33;Werk Musterstadt
DN10054467;09.01.2025;SI10052875;800186;KORUND ELEKTRO GMBH;8222,64;Werk Musterstadt
DN10054465;09.01.2025;SI10052876;800062;HARZ ANLAGENBAU GMBH;7107,16;Werk Musterstadt
DN10054464;09.01.2025;SI10052877;802445;HANSE INDUSTRIEBEDARF GMBH;4716,60;Werk Musterstadt
DN10054463;09.01.2025;SI10052878;802794;FORMAMETALL GMBH;7133,07;Werk Musterstadt
DN10054462;09.01.2025;SI10052923;800004;SÜD PANEELE KG;3624,26;Werk Musterstadt
DN10054461;09.01.2025;SI10052963;800189;FOKUS MONTAGE MBH;6120,50;Werk Musterstadt
DN10054460;09.01.2025;SI10053600;800002;POLARIS BAUBEDARF KG;19943,89;Werk Musterstadt
DN10054459;09.01.2025;SI10053828;800004;SÜD PANEELE KG;5329,72;Werk Musterstadt
DN10054458;09.01.2025;SI10053830;800004;SÜD PANEELE KG;10417,83;Werk Musterstadt
DN10054457;09.01.2025;SI10053832;800004;SÜD PANEELE KG;2393,47;Werk Musterstadt
DN10054456;09.01.2025;SI10053836;800004;SÜD PANEELE KG;2525,42;Werk Musterstadt
DN10054454;09.01.2025;SI10053825;800004;SÜD PANEELE KG;8624,55;Werk Musterstadt
DN10054451;08.01.2025;SI10053835;800004;SÜD PANEELE KG;2390,47;Werk Musterstadt
DN10054450;08.01.2025;SI10053838;800004;SÜD PANEELE KG;2337,35;Werk Musterstadt
DN10054449;08.01.2025;SI10052919;800181;HANSE GEBÄUDETECHNIK GMBH;1864,87;Werk Musterstadt
DN10054448;08.01.2025;SI10053821;800002;POLARIS BAUBEDARF KG;1634,68;Werk Musterstadt
DN10054447;08.01.2025;SI10053824;800004;SÜD PANEELE KG;5140,80;Werk Musterstadt
DN10054446;08.01.2025;SI10053826;800004;SÜD PANEELE KG;2111,16;Werk Musterstadt
DN10054445;08.01.2025;SI10053829;800004;SÜD PANEELE KG;4663,20;Werk Musterstadt
DN10054444;08.01.2025;SI10053831;800004;SÜD PANEELE KG;13470,18;Werk Musterstadt
DN10054443;08.01.2025;SI10053842;800004;SÜD PANEELE KG;3393,64;Werk Musterstadt
DN0170255;13.01.2025;SI10052880;800181;HANSE GEBÄUDETECHNIK GMBH;6883,53;Werk Musterstadt
DN0170254;13.01.2025;SI10052881;800004;SÜD PANEELE KG;9656,14;Werk Musterstadt
DN0170253;13.01.2025;SI10052882;800004;SÜD PANEELE KG;12014,48;Werk Musterstadt
DN0170079;13.01.2025;SI10052883;800004;SÜD PANEELE KG;3612,84;Werk Musterstadt
DN0170242;13.01.2025;SI10052884;800004;SÜD PANEELE KG;10986,75;Werk Musterstadt
DN0170237;13.01.2025;SI10052885;800004;SÜD PANEELE KG;10795,68;Werk Musterstadt
DN0170236;13.01.2025;SI10052886;800004;SÜD PANEELE KG;3916,29;Werk Musterstadt
DN0170230;13.01.2025;SI10052887;800004;SÜD PANEELE KG;1999,80;Werk Musterstadt
DN0170229;13.01.2025;SI10052888;800004;SÜD PANEELE KG;2246,10;Werk Musterstadt
DN0170228;13.01.2025;SI10052889;800004;SÜD PANEELE KG;10471,67;Werk Musterstadt
DN0170227;13.01.2025;SI10052890;800004;SÜD PANEELE KG;5307,88;Werk Musterstadt
DN0170226;13.01.2025;SI10052891;800004;SÜD PANEELE KG;3449,05;Werk Musterstadt
DN0170225;13.01.2025;SI10052892;800002;POLARIS BAUBEDARF KG;10844,23;Werk Musterstadt
DN0170208;13.01.2025;SI10052893;800002;POLARIS BAUBEDARF KG;10934,55;Werk Musterstadt
DN0170207;13.01.2025;SI10052894;800002;POLARIS BAUBEDARF KG;10384,42;Werk Musterstadt
DN0170193;13.01.2025;SI10052895;800002;POLARIS BAUBEDARF KG;10634,89;Werk Musterstadt
DN0170192;13.01.2025;SI10052896;800002;POLARIS BAUBEDARF KG;2695,49;Werk Musterstadt
DN0170179;13.01.2025;SI10052897;800002;POLARIS BAUBEDARF KG;5947,24;Werk Musterstadt
DN0170178;13.01.2025;SI10052898;800002;POLARIS BAUBEDARF KG;6838,98;Werk Musterstadt
DN0170174;13.01.2025;SI10052899;800002;POLARIS BAUBEDARF KG;3145,31;Werk Musterstadt
DN0170171;13.01.2025;SI10052900;800291;ALPEN TECHNIK;2836,01;Werk Musterstadt
DN0170170;13.01.2025;SI10052901;800291;ALPEN TECHNIK;6944,58;Werk Musterstadt
DN0170169;13.01.2025;SI10052902;800291;ALPEN TECHNIK;3309,85;Werk Musterstadt
DN0170167;13.01.2025;SI10052903;800291;ALPEN TECHNIK;2808,16;Werk Musterstadt
DN0170161;13.01.2025;SI10052904;800002;POLARIS BAUBEDARF KG;3155,88;Werk Musterstadt
DN0170160;13.01.2025;SI10052905;800002;POLARIS BAUBEDARF KG;5254,54;Werk Musterstadt
DN0170158;13.01.2025;SI10052906;800291;ALPEN TECHNIK;2750,33;Werk Musterstadt
DN0170145;13.01.2025;SI10052907;800291;ALPEN TECHNIK;4282,93;Werk Musterstadt
DN0170130;13.01.2025;SI10052908;800291;ALPEN TECHNIK;7890,06;Werk Musterstadt
DN0170129;13.01.2025;SI10052909;800291;ALPEN TECHNIK;3709,94;Werk Musterstadt
DN10054646;13.01.2025;SI10052910;800002;POLARIS BAUBEDARF KG;9668,13;Werk Musterstadt
DN10054645;13.01.2025;SI10052911;800291;ALPEN TECHNIK;9322,20;Werk Musterstadt
DN10054644;13.01.2025;SI10052912;800189;FOKUS MONTAGE MBH;8157,49;Werk Musterstadt
DN10054643;13.01.2025;SI10052913;800630;FORMA FOLIEN GMBH;109,46;Werk Musterstadt
DN10054642;13.01.2025;SI10052914;800630;FORMA FOLIEN GMBH;2981,41;Werk Musterstadt
DN10054641;13.01.2025;SI10052915;800630;FORMA FOLIEN GMBH;9050,81;Werk Musterstadt
DN10054640;13.01.2025;SI10052916;801071;FORMA PLATTEN GMBH;8636,54;Werk Musterstadt
DN10054639;13.01.2025;SI10052917;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;12125,43;Werk Musterstadt
DN10054638;13.01.2025;SI10052918;800210;BASALTTIEFBAU GMBH & CO. KG;12692,93;Werk Musterstadt
DN10054637;13.01.2025;SI10052961;800004;SÜD PANEELE KG;12738,90;Werk Musterstadt
DN10054636;13.01.2025;SI10052962;800004;SÜD PANEELE KG;3886,44;Werk Musterstadt
DN0170349;14.01.2025;SI10052928;800181;HANSE GEBÄUDETECHNIK GMBH;2080,95;Werk Musterstadt
DN0170348;14.01.2025;SI10052929;800181;HANSE GEBÄUDETECHNIK GMBH;9906,99;Werk Musterstadt
DN0170347;14.01.2025;SI10052930;800181;HANSE GEBÄUDETECHNIK GMBH;12852,64;Werk Musterstadt
DN0170345;14.01.2025;SI10052931;800181;HANSE GEBÄUDETECHNIK GMBH;9392,91;Werk Musterstadt
DN0170344;14.01.2025;SI10052932;800181;HANSE GEBÄUDETECHNIK GMBH;2063,17;Werk Musterstadt
DN0170341;14.01.2025;SI10052933;800181;HANSE GEBÄUDETECHNIK GMBH;7633,61;Werk Musterstadt
DN0170340;14.01.2025;SI10052934;800181;HANSE GEBÄUDETECHNIK GMBH;3118,75;Werk Musterstadt
DN0170322;14.01.2025;SI10052935;800004;SÜD PANEELE KG;10452,10;Werk Musterstadt
DN0170321;14.01.2025;SI10052936;800004;SÜD PANEELE KG;11566,80;Werk Musterstadt
DN0170320;14.01.2025;SI10052937;800004;SÜD PANEELE KG;11309,76;Werk Musterstadt
DN0170319;14.01.2025;SI10052938;800004;SÜD PANEELE KG;9660,42;Werk Musterstadt
DN0170316;14.01.2025;SI10052939;800004;SÜD PANEELE KG;5669,87;Werk Musterstadt
DN0170309;14.01.2025;SI10052940;800004;SÜD PANEELE KG;4326,84;Werk Musterstadt
DN0170306;14.01.2025;SI10052941;800004;SÜD PANEELE KG;5569,20;Werk Musterstadt
DN0170279;14.01.2025;SI10052942;800004;SÜD PANEELE KG;3265,26;Werk Musterstadt
DN0170278;14.01.2025;SI10052943;800004;SÜD PANEELE KG;5825,88;Werk Musterstadt
DN0170271;14.01.2025;SI10052944;800002;POLARIS BAUBEDARF KG;5731,71;Werk Musterstadt
